0,1,2
1.9901392e-05,0.9957419,0.004238165
0.2043274,0.7956713,1.3651297e-06
3.4980047e-05,0.9999646,4.190214e-07
2.094424e-05,0.9999585,2.0468884e-05
5.3637257e-07,0.9999949,4.6442624e-06
8.582014e-05,0.9810002,0.018914035
1.0358948e-09,0.9999347,6.534732e-05
0.86971325,0.13028671,1.4006523e-08
1.0121769e-07,0.9999933,6.511322e-06
3.4916434e-09,2.3525256e-05,0.9999765
3.2659707e-05,0.99994576,2.1633634e-05
4.3154634e-07,0.0004005861,0.99959904
0.0008395445,0.9990802,8.02139e-05
6.7355506e-07,0.9988697,0.0011295595
0.0022401668,0.9965042,0.0012555799
2.5044435e-06,0.9404616,0.059535954
1.0693623e-05,0.99997497,1.4258579e-05
0.0050839237,0.9949161,1.641352e-09
0.001978584,0.99798965,3.170992e-05
2.9774374e-09,8.326903e-06,0.99999166
0.0013724483,0.9954378,0.0031897645
0.022506788,0.90761006,0.06988313
4.086606e-06,0.9999877,8.275523e-06
0.0031957908,0.9963569,0.00044726577
0.9969946,0.0030042883,1.1095082e-06
1.4411966e-05,0.99997866,6.8612944e-06
1.627539e-05,0.9999795,4.17716e-06
0.00015322071,0.9949641,0.004882697
0.8537228,0.1351252,0.011151907
2.0342407e-06,0.7935864,0.20641154
2.1894448e-07,0.00044200977,0.9995578
1.55557e-07,0.9999969,2.9767248e-06
2.1874886e-05,0.0003920435,0.99958605
8.880774e-06,0.7619656,0.23802547
1.4105925e-06,0.9999119,8.671566e-05
1.326929e-09,0.99998915,1.0838429e-05
0.00017083592,0.99982893,2.7559872e-07
4.683969e-05,0.9999455,7.6179094e-06
0.9911376,0.008852529,9.9575755e-06
0.00019111925,0.9997993,9.483433e-06
0.14884806,0.8511517,2.574262e-07
9.852146e-06,0.0025889939,0.9974011
0.03461287,0.9653869,1.8959423e-07
0.002071053,0.9853474,0.012581498
8.382688e-05,0.9999114,4.778455e-06
1.1143497e-05,0.9917971,0.008191746
4.239941e-07,0.69408333,0.30591625
0.0015945004,0.9982322,0.00017333517
0.00013559169,0.011177796,0.98868656
4.601664e-05,0.00387538,0.99607855
0.005006977,0.9934476,0.0015454177
2.1593221e-05,0.9955739,0.0044045364
0.03850392,0.95913124,0.0023648385
8.243502e-05,0.640104,0.35981363
0.0005295497,0.9994702,2.2035404e-07
5.218662e-09,5.6182183e-05,0.99994385
0.0028031843,0.9962387,0.00095808017
0.017994499,0.9630833,0.01892214
3.828662e-06,0.99996626,2.9971445e-05
0.9999447,5.5256267e-05,1.3810784e-11
0.021994827,0.5468955,0.43110964
0.5856793,0.41429287,2.7897991e-05
4.309541e-06,0.71767086,0.2823248
0.294757,0.7051033,0.00013973018
1.6036639e-06,0.9999982,1.9444226e-07
3.1368796e-05,0.99651057,0.003458082
6.283717e-07,1.982948e-06,0.9999974
0.0038130009,0.98737645,0.008810546
